frequency_Hz,gain_dB,phase_deg
1.81970085861,-0.000567695776125,-0.65506376562
1.84077200147,-0.000580918225111,-0.662648374023
1.86208713666,-0.00059444862282,-0.670320784422
1.88364908949,-0.000608294140345,-0.678082012685
1.90546071796,-0.000622462115709,-0.685933086415
1.92752491319,-0.000636960057765,-0.693875045084
1.94984459976,-0.000651795650171,-0.701908940169
1.97242273611,-0.000666976755453,-0.71003583529
1.99526231497,-0.000682511419168,-0.718256806351
2.01836636368,-0.000698407874162,-0.726572941677
2.04173794467,-0.000714674544926,-0.734985342163
2.06538015581,-0.000731320052054,-0.74349512141
2.08929613085,-0.000748353216804,-0.752103405881
2.11348903984,-0.000765783065774,-0.760811335037
2.1379620895,-0.000783618835667,-0.769620061498
2.16271852373,-0.000801869978183,-0.778530751183
2.18776162395,-0.00082054616502,-0.787544583471
2.21309470961,-0.00083965729299,-0.796662751351
2.23872113857,-0.000859213489259,-0.805886461578
2.26464430759,-0.000879225116696,-0.815216934833
2.29086765277,-0.000899702779357,-0.824655405879
2.31739464997,-0.000920657328102,-0.834203123726
2.34422881532,-0.000942099866325,-0.843861351794
2.37137370566,-0.000964041755828,-0.853631368073
2.39883291902,-0.000986494622837,-0.863514465295
2.42661009508,-0.00100947036413,-0.873511951103
2.45470891569,-0.00103298115337,-0.883625148216
2.4831331053,-0.00105703944748,-0.893855394606
2.51188643151,-0.00108165799328,-0.904204043673
2.54097270555,-0.00110684983421,-0.914672464416
2.57039578277,-0.00113262831723,-0.925262041619
2.60015956317,-0.00115900709985,-0.935974176023
2.6302679919,-0.00118600015738,-0.946810284514
2.6607250598,-0.00121362179032,-0.957771800306
2.69153480393,-0.00124188663188,-0.968860173126
2.72270130808,-0.00127080965575,-0.980076869402
2.75422870334,-0.00130040618399,-0.991423372457
2.78612116863,-0.00133069189513,-1.0029011827
2.81838293126,-0.00136168283248,-1.0145118178
2.8510182675,-0.00139339541256,-1.02625681295
2.88403150313,-0.0014258464338,-1.03813772096
2.917427014,-0.00145905308541,-1.05015611255
2.95120922667,-0.00149303295646,-1.06231357653
2.98538261892,-0.00152780404517,-1.07461171996
3.0199517204,-0.00156338476838,-1.08705216842
3.05492111322,-0.00159979397134,-1.09963656618
3.09029543251,-0.00163705093761,-1.11236657644
3.12607936712,-0.00167517539923,-1.12524388151
3.16227766017,-0.00171418754718,-1.13827018307
3.19889510969,-0.00175410804202,-1.15144720235
3.2359365693,-0.00179495802477,-1.16477668038
3.27340694879,-0.00183675912809,-1.17826037818
3.31131121483,-0.00187953348769,-1.19190007703
3.34965439158,-0.00192330375399,-1.20569757868
3.38844156139,-0.0019680931041,-1.21965470557
3.42767786546,-0.00201392525403,-1.23377330107
3.46736850453,-0.00206082447116,-1.24805522973
3.50751873953,-0.0021088155871,-1.2625023775
3.54813389234,-0.00215792401076,-1.27711665199
3.58921934645,-0.0022081757417,-1.29189998269
3.6307805477,-0.00225959738389,-1.30685432125
3.67282300498,-0.00231221615973,-1.32198164169
3.71535229097,-0.00236605992434,-1.33728394069
3.75837404288,-0.00242115718029,-1.35276323782
3.80189396321,-0.0024775370926,-1.3684215758
3.84591782045,-0.00253522950409,-1.38426102078
3.89045144994,-0.00259426495111,-1.40028366256
3.93550075456,-0.00265467467959,-1.41649161491
3.98107170554,-0.00271649066155,-1.43288701579
4.02717034325,-0.00277974561187,-1.44947202765
4.07380277804,-0.00284447300553,-1.46624883771
4.12097519097,-0.00291070709521,-1.4832196582
4.1686938347,-0.00297848292935,-1.50038672667
4.21696503429,-0.00304783637053,-1.51775230627
4.26579518802,-0.00311880411439,-1.53531868602
4.31519076828,-0.00319142370886,-1.55308818111
4.3651583224,-0.00326573357397,-1.57106313321
4.41570447353,-0.00334177302196,-1.58924591071
4.46683592151,-0.00341958227802,-1.60763890906
4.51855944375,-0.00349920250137,-1.62624455108
4.57088189615,-0.0035806758069,-1.64506528723
4.62381021399,-0.00366404528729,-1.66410359592
4.67735141287,-0.00374935503562,-1.68336198384
4.73151258961,-0.00383665016852,-1.70284298627
4.78630092323,-0.00392597684987,-1.72254916736
4.84172367584,-0.00401738231497,-1.74248312051
4.89778819368,-0.00411091489536,-1.76264746862
4.95450190805,-0.00420662404417,-1.78304486449
5.01187233627,-0.00430456036199,-1.80367799107
5.06990708275,-0.00440477562347,-1.82454956185
5.12861383991,-0.00450732280439,-1.84566232119
5.18800038929,-0.00461225610942,-1.86701904461
5.2480746025,-0.00471963100053,-1.88862253919
5.30884444231,-0.004829504226,-1.91047564387
5.3703179637,-0.00494193385016,-1.93258122982
5.43250331492,-0.00505697928372,-1.95494220079
5.49540873858,-0.00517470131488,-1.97756149344
5.5590425727,-0.00529516214109,-2.00044207773
5.6234132519,-0.00541842540162,-2.02358695727
5.68852930844,-0.00554455621073,-2.04699916966
5.75439937337,-0.00567362119176,-2.0706817869
5.82103217771,-0.00580568851187,-2.0946379157
5.88843655356,-0.00594082791764,-2.11887069793
5.95662143529,-0.00607911077149,-2.14338331092
6.02559586074,-0.00622061008886,-2.16817896791
6.0953689724,-0.00636540057631,-2.19326091837
6.16595001861,-0.00651355867047,-2.21863244842
6.23734835482,-0.00666516257782,-2.24429688124
6.3095734448,-0.00682029231546,-2.27025757741
6.38263486191,-0.00697902975276,-2.29651793535
6.45654229035,-0.00714145865394,-2.3230813917
6.53130552647,-0.00730766472164,-2.34995142175
6.60693448008,-0.00747773564152,-2.3771315398
6.68343917569,-0.00765176112777,-2.4046252996
6.76082975392,-0.00782983296974,-2.43243629477
6.83911647281,-0.00801204507957,-2.4605681592
6.91830970919,-0.00819849354096,-2.48902456748
6.99841996002,-0.00838927665895,-2.51780923531
7.07945784384,-0.00858449501092,-2.54692591993
7.16143410213,-0.0087842514987,-2.57637842057
7.24435960075,-0.00898865140181,-2.60617057886
7.32824533139,-0.00919780243198,-2.63630627926
7.41310241301,-0.00941181478888,-2.66678944954
7.49894209332,-0.00963080121702,-2.69762406115
7.58577575029,-0.00985487706407,-2.72881412974
7.67361489362,-0.0100841603404,-2.76036371557
7.76247116629,-0.0103187717798,-2.79227692397
7.8523563461,-0.0105588349022,-2.82455790577
7.94328234724,-0.0108044760766,-2.8572108578
8.03526122186,-0.011055824587,-2.89024002331
8.12830516164,-0.0113130126981,-2.92364969247
8.22242649947,-0.011576175724,-2.95744420281
8.31763771103,-0.0118454520972,-2.99162793966
8.41395141645,-0.0121209834401,-3.02620533671
8.51138038202,-0.0124029146375,-3.06118087639
8.60993752185,-0.0126913939107,-3.09655909038
8.70963589956,-0.0129865728939,-3.1323445601
8.81048873008,-0.0132886067113,-3.1685419172
8.91250938134,-0.0135976540568,-3.20515584399
9.01571137606,-0.0139138772749,-3.24219107398
9.12010839356,-0.0142374424439,-3.27965239235
9.22571427155,-0.0145685194602,-3.31754463641
9.33254300797,-0.014907282125,-3.35587269614
9.44060876286,-0.0152539082333,-3.39464151464
9.54992586021,-0.0156085796635,-3.43385608867
9.6605087899,-0.0159714824706,-3.4735214691
9.77237220956,-0.0163428069802,-3.51364276142
9.88553094657,-0.0167227478853,-3.55422512626
10,-0.0171115043446,-3.59527377987
10.1157945426,-0.0175092800837,-3.63679399462
10.2329299228,-0.017916283498,-3.67879109952
10.3514216668,-0.0183327277576,-3.7212704807
10.4712854805,-0.0187588309154,-3.76423758194
10.5925372518,-0.0191948160163,-3.80769790513
10.7151930524,-0.0196409112101,-3.85165701083
10.8392691402,-0.0200973498657,-3.89612051872
10.9647819614,-0.0205643706884,-3.94109410816
11.0917481526,-0.0210422178396,-3.98658351863
11.220184543,-0.0215311410588,-4.03259455028
11.3501081567,-0.0220313957888,-4.07913306442
11.481536215,-0.0225432433031,-4.12620498402
11.6144861384,-0.0230669508361,-4.17381629419
11.7489755494,-0.023602791716,-4.22197304272
11.8850222744,-0.024151045501,-4.27068134054
12.0226443462,-0.0247119981178,-4.31994736222
12.1618600065,-0.0252859420033,-4.36977734649
12.3026877081,-0.0258731762492,-4.42017759669
12.4451461177,-0.02647400675,-4.47115448129
12.5892541179,-0.0270887463537,-4.52271443435
12.7350308102,-0.0277177150154,-4.57486395601
12.8824955169,-0.0283612399552,-4.62760961297
13.0316677845,-0.0290196558181,-4.68095803895
13.1825673856,-0.0296933048381,-4.73491593517
13.3352143216,-0.0303825370052,-4.7894900708
13.4896288259,-0.0310877102366,-4.84468728343
13.6458313659,-0.0318091905499,-4.90051447952
13.803842646,-0.032547352242,-4.95697863481
13.9636836106,-0.0333025780695,-5.01408679483
14.1253754462,-0.0340752594345,-5.07184607524
14.2889395851,-0.0348657965729,-5.13026366235
14.4543977075,-0.0356745987478,-5.18934681343
14.6217717446,-0.0365020844451,-5.24910285723
14.7910838817,-0.037348681575,-5.30953919428
14.9623565609,-0.0382148276757,-5.37066329733
15.1356124844,-0.0391009701227,-5.43248271172
15.3108746168,-0.040007566341,-5.49500505573
15.4881661891,-0.0409350840226,-5.55823802096
15.6675107011,-0.041884001347,-5.62218937264
15.8489319246,-0.0428548072076,-5.68686695001
16.0324539069,-0.0438480014412,-5.75227866657
16.2181009736,-0.0448640950624,-5.81843251045
16.405897732,-0.0459036105027,-5.88533654465
16.5958690744,-0.0469670818542,-5.95299890732
16.7880401812,-0.0480550551175,-6.02142781204
16.9824365246,-0.0491680884548,-6.09063154805
17.1790838716,-0.0503067524476,-6.16061848044
17.3780082875,-0.0514716303594,-6.23139705039
17.5792361396,-0.0526633184029,-6.30297577532
