time_s,vin_V,vout_V
0.03390810078,0,0.0546571515608
0.03391810078,0,0.0541132993065
0.03392810078,0,0.0535748585174
0.03393810078,0,0.0530417753481
0.03394810078,0,0.0525139964889
0.03395810078,0,0.0519914691606
0.03396810078,0,0.0514741411093
0.03397810078,0,0.0509619606007
0.03398810078,0,0.0504548764156
0.03399810078,0,0.0499528378443
0.03400810078,0,0.0494557946817
0.03401810078,0,0.0489636972222
0.03402810078,0,0.0484764962548
0.03403810078,0,0.0479941430582
0.03404810078,0,0.047516589396
0.03405810078,0,0.0470437875114
0.03406810078,0,0.0465756901233
0.03407810078,0,0.0461122504205
0.03408810078,0,0.0456534220581
0.03409810078,0,0.0451991591521
0.03410810078,0,0.044749416275
0.03411810078,0,0.0443041484513
0.03412810078,0,0.0438633111533
0.03413810078,0,0.0434268602961
0.03414810078,0,0.0429947522334
0.03415810078,0,0.0425669437535
0.03416810078,0,0.0421433920743
0.03417810078,0,0.0417240548398
0.03418810078,0,0.041308890115
0.03419810078,0,0.0408978563825
0.03420810078,0,0.0404909125379
0.03421810078,0,0.0400880178858
0.03422810078,0,0.0396891321357
0.03423810078,0,0.039294215398
0.03424810078,0,0.0389032281801
0.03425810078,0,0.0385161313823
0.03426810078,0,0.0381328862939
0.03427810078,0,0.0377534545895
0.03428810078,0,0.0373777983249
0.03429810078,0,0.0370058799336
0.03430810078,0,0.0366376622229
0.03431810078,0,0.0362731083699
0.03432810078,0,0.0359121819185
0.03433810078,0,0.035554846775
0.03434810078,0,0.0352010672051
0.03435810078,0,0.0348508078299
0.03436810078,0,0.0345040336226
0.03437810078,0,0.034160709905
0.03438810078,0,0.0338208023438
0.03439810078,0,0.0334842769473
0.03440810078,0,0.0331511000623
0.03441810078,0,0.0328212383701
0.03442810078,0,0.0324946588838
0.03443810078,0,0.0321713289447
0.03444810078,0,0.0318512162189
0.03445810078,0,0.0315342886943
0.03446810078,0,0.0312205146774
0.03447810078,0,0.0309098627901
0.03448810078,0,0.0306023019663
0.03449810078,0,0.0302978014492
0.03450810078,0,0.0299963307881
0.03451810078,0,0.0296978598349
0.03452810078,0,0.0294023587421
0.03453810078,0,0.0291097979586
0.03454810078,0,0.0288201482276
0.03455810078,0,0.0285333805836
0.03456810078,0,0.0282494663489
0.03457810078,0,0.0279683771315
0.03458810078,0,0.0276900848217
0.03459810078,0,0.0274145615897
0.03460810078,0,0.0271417798823
0.03461810078,0,0.0268717124208
0.03462810078,0,0.0266043321977
0.03463810078,0,0.0263396124744
0.03464810078,0,0.0260775267781
0.03465810078,0,0.0258180488997
0.03466810078,0,0.0255611528908
0.03467810078,0,0.025306813061
0.03468810078,0,0.0250550039758
0.03469810078,0,0.0248057004537
0.03470810078,0,0.0245588775636
0.03471810078,0,0.0243145106226
0.03472810078,0,0.0240725751936
0.03473810078,0,0.0238330470822
0.03474810078,0,0.0235959023351
0.03475810078,0,0.0233611172372
0.03476810078,0,0.0231286683095
0.03477810078,0,0.0228985323064
0.03478810078,0,0.0226706862138
0.03479810078,0,0.0224451072465
0.03480810078,0,0.0222217728461
